project,datapoint,n_commits,n_files,n_files_updated_i,shared_files
commons-lang,f8fcbbaa96198a5d24ff5db4413f8d1f0ebf0c41_8e7826db74c6a38d98ca4f53cc3a203ee10066dd,3,12,2,1
commons-lang,22e7710b2062d495677ab1976cda4d1c023899c0_24ddaf8557c52dee814ae1b015ac668ba4cf4eab,2,11,11,0
commons-lang,22e7710b2062d495677ab1976cda4d1c023899c0_91aac1bcf39bc790f20e45a0e49df1eeeb28185a,3,46,36,1
commons-lang,22e7710b2062d495677ab1976cda4d1c023899c0_de98e6c1f969a872de88591aad15651c89e31eed,4,50,7,3
commons-lang,91aac1bcf39bc790f20e45a0e49df1eeeb28185a_de98e6c1f969a872de88591aad15651c89e31eed,2,7,7,0
commons-lang,e0c80773c15c079a4801c20544bba036f64e4edd_37a1e2fa34b69257d22ef67fb53947562e1289ad,2,0,0,0
commons-lang,34aa8b03da6bf8ad9c605cc833f215519691e4aa_4a67eb7b2a2a8c21bd8092c2a5e963bd0e866827,2,6,5,2
commons-lang,34aa8b03da6bf8ad9c605cc833f215519691e4aa_73eee4b0062dc473d23c6a7509c439b70d3e5c1c,3,6,3,3
commons-lang,34aa8b03da6bf8ad9c605cc833f215519691e4aa_0e27ebfbe08e9fcdf9652542054861b6799024e2,4,7,2,4
commons-lang,73eee4b0062dc473d23c6a7509c439b70d3e5c1c_0e27ebfbe08e9fcdf9652542054861b6799024e2,2,3,2,0
commons-lang,e945ec8ac7ebd5d450acfa70dc391e32b47e0a1b_5391d92ffbc412b8dbb118170daa7a3f5aa585a2,2,3,2,0
